model,rowid,timestamp,itemid,prev_next,prev_next_dist,alphabet,stimulus,solution,response,template_nr
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0,20241028222056,213,prev,1,Latin,c,b,b,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1,20241028222057,223,prev,2,Latin,c,a,b,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,2,20241028222057,313,next,1,Latin,c,d,d,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,3,20241028222058,323,next,2,Latin,c,e,d,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,4,20241028222058,213,prev,1,Greek,gamma,beta,delta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,5,20241028222059,223,prev,2,Greek,gamma,alpha,delta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,6,20241028222059,313,next,1,Greek,gamma,delta,delta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,7,20241028222100,323,next,2,Greek,gamma,epsilon,delta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,8,20241028222100,213,prev,1,Symbol,%,@,@,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,9,20241028222100,223,prev,2,Symbol,%,*,@,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,10,20241028222101,313,next,1,Symbol,%,!,^,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,11,20241028222101,323,next,2,Symbol,%,^,^,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,12,20241028222102,214,prev,1,Latin,d,c,c,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,13,20241028222103,224,prev,2,Latin,d,b,c,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,14,20241028222103,314,next,1,Latin,d,e,e,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,15,20241028222104,324,next,2,Latin,d,f,e,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,16,20241028222104,214,prev,1,Greek,delta,gamma,Gamma,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,17,20241028222105,224,prev,2,Greek,delta,beta,gamma,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,18,20241028222105,314,next,1,Greek,delta,epsilon,epsilon,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,19,20241028222106,324,next,2,Greek,delta,zeta,epsilon,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,20,20241028222106,214,prev,1,Symbol,!,%,@,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,21,20241028222107,224,prev,2,Symbol,!,@,@,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,22,20241028222108,314,next,1,Symbol,!,^,^,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,23,20241028222108,324,next,2,Symbol,!,#,^,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,24,20241028222108,215,prev,1,Latin,e,d,d,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,25,20241028222109,225,prev,2,Latin,e,c,d,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,26,20241028222109,315,next,1,Latin,e,f,f,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,27,20241028222110,325,next,2,Latin,e,g,g,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,28,20241028222111,215,prev,1,Greek,epsilon,delta,Delta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,29,20241028222111,225,prev,2,Greek,epsilon,gamma,Delta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,30,20241028222112,315,next,1,Greek,epsilon,zeta,zeta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,31,20241028222112,325,next,2,Greek,epsilon,eta,zeta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,32,20241028222113,215,prev,1,Symbol,^,!,!,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,33,20241028222113,225,prev,2,Symbol,^,%,!,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,34,20241028222114,315,next,1,Symbol,^,#,'~',0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,35,20241028222114,325,next,2,Symbol,^,~,$,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,36,20241028222115,216,prev,1,Latin,f,e,e,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,37,20241028222115,226,prev,2,Latin,f,d,e,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,38,20241028222116,316,next,1,Latin,f,g,g,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,39,20241028222117,326,next,2,Latin,f,h,g,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,40,20241028222117,216,prev,1,Greek,zeta,epsilon,Epsilon,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,41,20241028222118,226,prev,2,Greek,zeta,delta,Epsilon,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,42,20241028222118,316,next,1,Greek,zeta,eta,eta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,43,20241028222119,326,next,2,Greek,zeta,theta,eta,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,44,20241028222119,216,prev,1,Symbol,#,^,!,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,45,20241028222119,226,prev,2,Symbol,#,!,!,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,46,20241028222120,316,next,1,Symbol,#,~,$,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,47,20241028222120,326,next,2,Symbol,#,$,$,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,48,20241028222121,217,prev,1,Latin,g,f,f,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,49,20241028222121,227,prev,2,Latin,g,e,f,0
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,50,20241028222122,317,next,1,Latin,g,h,h,0
