"model","rowid","timestamp","testletid","itemid","alphabet","A","B","C","D","template_nr","item_prompt","response","logprob","finish_reason","cleaned_response","correct_response","correct","stringdist"
"claude-3-5-sonnet-20241022",0,20241026182852,1,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"claude-3-5-sonnet-20241022",1,20241026182853,1,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","j k k",NA,NA,"j k k","j k k",1,0
"claude-3-5-sonnet-20241022",2,20241026182853,1,1001,"Latin","a b","a c","e f","e g",1,"If a b changes to a c, what does e f change to ?","e g",NA,NA,"e g","e g",1,0
"claude-3-5-sonnet-20241022",3,20241026182854,1,1002,"Latin","b c","b b d d","h i","h h j j",1,"If b c changes to b b d d, what does h i change to ?","h h j j",NA,NA,"h h j j","h h j j",1,0
"claude-3-5-sonnet-20241022",4,20241026182855,1,1003,"Latin","c d","c f","g h","g j",1,"If c d changes to c f, what does g h change to ?","g j",NA,NA,"g j","g j",1,0
"claude-3-5-sonnet-20241022",5,20241026182855,1,1004,"Latin","a b","a c c","f g","f h h",1,"If a b changes to a c c, what does f g change to ?","f h h",NA,NA,"f h h","f h h",1,0
"claude-3-5-sonnet-20241022",6,20241026182856,1,1005,"Latin","c d","b d","j j k k","i i k k",1,"If c d changes to b d, what does j j k k change to ?","i j k k",NA,NA,"i j k k","i i k k",0,1
"claude-3-5-sonnet-20241022",7,20241026182857,1,1001,"Greek","beta gamma","beta delta","zeta eta","zeta theta",1,"If beta gamma changes to beta delta, what does zeta eta change to ?","zeta theta",NA,NA,"zeta theta","zeta theta",1,0
"claude-3-5-sonnet-20241022",8,20241026182858,1,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota",1,"If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","eta eta iota iota",NA,NA,"eta eta iota iota","eta eta iota iota",1,0
"claude-3-5-sonnet-20241022",9,20241026182859,1,1003,"Greek","alpha beta","alpha delta","epsilon zeta","epsilon theta",1,"If alpha beta changes to alpha delta, what does epsilon zeta change to ?","epsilon theta",NA,NA,"epsilon theta","epsilon theta",1,0
"claude-3-5-sonnet-20241022",10,20241026182900,1,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa",1,"If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","theta kappa kappa",NA,NA,"theta kappa kappa","theta kappa kappa",1,0
"claude-3-5-sonnet-20241022",11,20241026182901,1,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta",1,"If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","zeta zeta theta theta",NA,NA,"zeta zeta theta theta","epsilon epsilon eta eta",0,4
"claude-3-5-sonnet-20241022",12,20241026182902,1,1001,"Symbol","* @","* %","^ #","^ ~",1,"If * @ changes to * %, what does ^ # change to ?","^ ~",NA,NA,"^ ~","^ ~",1,0
"claude-3-5-sonnet-20241022",13,20241026182903,1,1002,"Symbol","* @","* * % %","! ^","! ! # #",1,"If * @ changes to * * % %, what does ! ^ change to ?","! ! # #",NA,NA,"! ! # #","! ! # #",1,0
"claude-3-5-sonnet-20241022",14,20241026182905,1,1003,"Symbol","@ %","@ ^","% !","% #",1,"If @ % changes to @ ^, what does % ! change to ?","% #",NA,NA,"% #","% #",1,0
"claude-3-5-sonnet-20241022",15,20241026182906,1,1004,"Symbol","@ %","@ ! !","# ~","# $ $",1,"If @ % changes to @ ! !, what does # ~ change to ?","# $ $",NA,NA,"# $ $","# $ $",1,0
"claude-3-5-sonnet-20241022",16,20241026182907,1,1005,"Symbol","% !","@ !","~ ~ $ $","# # $ $",1,"If % ! changes to @ !, what does ~ ~ $ $ change to ?","~ ~ { {",NA,NA,"~ ~ { {","# # $ $",0,4
"claude-3-sonnet-20240229",0,20241026182907,1,101,"Latin","a","b","j","k",1,"If a changes to b, what does j change to ?","k",NA,NA,"k","k",1,0
"claude-3-sonnet-20240229",1,20241026182908,1,102,"Latin","c d","c d d","j k","j k k",1,"If c d changes to c d d, what does j k change to ?","jjk",NA,NA,"","j k k",0,3
"claude-3-sonnet-20240229",2,20241026182908,1,1001,"Latin","a b","a c","e f","e g",1,"If a b changes to a c, what does e f change to ?","e g",NA,NA,"e g","e g",1,0
"claude-3-sonnet-20240229",3,20241026182909,1,1002,"Latin","b c","b b d d","h i","h h j j",1,"If b c changes to b b d d, what does h i change to ?","h h j j",NA,NA,"h h j j","h h j j",1,0
"claude-3-sonnet-20240229",4,20241026182910,1,1003,"Latin","c d","c f","g h","g j",1,"If c d changes to c f, what does g h change to ?","gi",NA,NA,"","g j",0,2
"claude-3-sonnet-20240229",5,20241026182910,1,1004,"Latin","a b","a c c","f g","f h h",1,"If a b changes to a c c, what does f g change to ?","fh",NA,NA,"","f h h",0,3
"claude-3-sonnet-20240229",6,20241026182911,1,1005,"Latin","c d","b d","j j k k","i i k k",1,"If c d changes to b d, what does j j k k change to ?","ijkl",NA,NA,"","i i k k",0,4
"claude-3-sonnet-20240229",7,20241026182912,1,1001,"Greek","beta gamma","beta delta","zeta eta","zeta theta",1,"If beta gamma changes to beta delta, what does zeta eta change to ?","zetatheta",NA,NA,"","zeta theta",0,2
"claude-3-sonnet-20240229",8,20241026182913,1,1002,"Greek","alpha beta","alpha alpha gamma gamma","eta theta","eta eta iota iota",1,"If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","etaetadetagamma",NA,NA,"","eta eta iota iota",0,4
"claude-3-sonnet-20240229",9,20241026182913,1,1003,"Greek","alpha beta","alpha delta","epsilon zeta","epsilon theta",1,"If alpha beta changes to alpha delta, what does epsilon zeta change to ?","epsilonchi",NA,NA,"","epsilon theta",0,2
"claude-3-sonnet-20240229",10,20241026182914,1,1004,"Greek","gamma delta","gamma epsilon epsilon","theta iota","theta kappa kappa",1,"If gamma delta changes to gamma epsilon epsilon, what does theta iota change to ?","thetaiotaiota",NA,NA,"","theta kappa kappa",0,3
"claude-3-sonnet-20240229",11,20241026182915,1,1005,"Greek","beta gamma","alpha gamma","zeta zeta eta eta","epsilon epsilon eta eta",1,"If beta gamma changes to alpha gamma, what does zeta zeta eta eta change to ?","alphaalphaetaeta",NA,NA,"","epsilon epsilon eta eta",0,4
