rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112170255,7,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.04332969175074999,stop
1,20231112170256,7,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.030747009008158823,stop
2,20231112170257,7,1001,Latin,b c,b d,f g,f h,4," f h ]

Answer: [a e] [a g]",-0.17721945673392664,stop
3,20231112170258,7,1002,Latin,b c,b b d d,h i,h h j j,4,"  h h i i ]

Answer: [a e] [a g j]",-0.07856346968887895,stop
4,20231112170259,7,1003,Latin,e f,e h,i j,i l,4,"  i l ]

Answer: [c d] [c k]",-0.161370792488025,stop
5,20231112170259,7,1004,Latin,e f,e g g,j k,j l l,4,"   j k l l ]

Answer: [c d] [c h m]",-0.07794935427392842,stop
6,20231112170300,7,1005,Latin,c d,b d,m m n n,l l n n,4,"   m n o o ]

Answer: [a e] [l p q r]",-0.093585364617215,length
7,20231112170301,7,1001,Greek,gamma delta,gamma epsilon,eta theta,eta iota,4,"   eta iota ]

Answer: [alpha beta] [alpha kappa]",-0.06367488647728052,stop
8,20231112170302,7,1002,Greek,alpha beta,alpha alpha gamma gamma,eta theta,eta eta iota iota,4,"    eta eta iota iota ]

Answer: [gamma delta] [",-0.03041106816559,length
9,20231112170303,7,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa,4,"    eta kappa ]

Answer: [alpha beta] [alpha lambda]",-0.047843524887591665,stop
10,20231112170303,7,1004,Greek,eta theta,eta iota iota,mu nu,mu xi xi,4,"    mu nu xi xi ]

Answer: [gamma delta] [omega",-0.10406235120304501,length
11,20231112170304,7,1005,Greek,beta gamma,alpha gamma,nu nu xi xi,mu mu xi xi,4,"     nu xi omicron omicron ]

Answer: [delta eps",-0.05805283823172001,length
12,20231112170305,7,1001,Symbol,@ %,@ !,# ~,# $,4,"   # $ ]

Answer: [* ^] [* {]",-0.22224421779853337,stop
13,20231112170306,7,1002,Symbol,* @,* * % %,! ^,! ! # #,4,"    ! ! ^ ^ ]

Answer: [# ~] [# $ = =]",-0.10254654818461,length
14,20231112170307,7,1003,Symbol,! ^,! ~,^ #,^ $,4,"    ^ $ ]

Answer: [* @] [* {]",-0.08857024534918571,stop
15,20231112170308,7,1004,Symbol,# ~,# $ $,= :,= ) ),4,"     = = : : ]

Answer: [* @] [* % !]",-0.07089971249735294,stop
16,20231112170309,7,1005,Symbol,^ #,! #,= = : :,{ { : :,4,"      = : ) ) ]

Answer: [* @] [* ~ $]",-0.12044545868178234,stop
