model,rowid,timestamp,itemid,prev_next,prev_next_dist,alphabet,stimulus,solution,response,template_nr
gpt-3.5-turbo-0125,0,20241028222741,213,prev,1,Latin,c,b,b,0
gpt-3.5-turbo-0125,1,20241028222741,223,prev,2,Latin,c,a,a,0
gpt-3.5-turbo-0125,2,20241028222742,313,next,1,Latin,c,d,d,0
gpt-3.5-turbo-0125,3,20241028222742,323,next,2,Latin,c,e,e,0
gpt-3.5-turbo-0125,4,20241028222743,213,prev,1,Greek,gamma,beta,beta,0
gpt-3.5-turbo-0125,5,20241028222743,223,prev,2,Greek,gamma,alpha,epsilon,0
gpt-3.5-turbo-0125,6,20241028222744,313,next,1,Greek,gamma,delta,delta,0
gpt-3.5-turbo-0125,7,20241028222744,323,next,2,Greek,gamma,epsilon,delta,0
gpt-3.5-turbo-0125,8,20241028222744,213,prev,1,Symbol,%,@,@,0
gpt-3.5-turbo-0125,9,20241028222745,223,prev,2,Symbol,%,*,@,0
gpt-3.5-turbo-0125,10,20241028222745,313,next,1,Symbol,%,!,!,0
gpt-3.5-turbo-0125,11,20241028222745,323,next,2,Symbol,%,^,!,0
gpt-3.5-turbo-0125,12,20241028222746,214,prev,1,Latin,d,c,c,0
gpt-3.5-turbo-0125,13,20241028222746,224,prev,2,Latin,d,b,b,0
gpt-3.5-turbo-0125,14,20241028222746,314,next,1,Latin,d,e,e,0
gpt-3.5-turbo-0125,15,20241028222747,324,next,2,Latin,d,f,f,0
gpt-3.5-turbo-0125,16,20241028222747,214,prev,1,Greek,delta,gamma,gamma,0
gpt-3.5-turbo-0125,17,20241028222748,224,prev,2,Greek,delta,beta,beta,0
gpt-3.5-turbo-0125,18,20241028222748,314,next,1,Greek,delta,epsilon,epsilon,0
gpt-3.5-turbo-0125,19,20241028222748,324,next,2,Greek,delta,zeta,epsilon,0
gpt-3.5-turbo-0125,20,20241028222749,214,prev,1,Symbol,!,%,%,0
gpt-3.5-turbo-0125,21,20241028222749,224,prev,2,Symbol,!,@,%,0
gpt-3.5-turbo-0125,22,20241028222750,314,next,1,Symbol,!,^,^,0
gpt-3.5-turbo-0125,23,20241028222750,324,next,2,Symbol,!,#,^,0
gpt-3.5-turbo-0125,24,20241028222751,215,prev,1,Latin,e,d,d,0
