"participant_id","participant_group","age_yrs","edu_year","letterstring_response_id","itemid","alphabet","A","B","C","D","response","rt","cleaned_response","correct_response","correct","stringdist","exclude","exclude_comment"
3730,"child",8,4,820,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",52560,"zeta theta","zeta theta",1,0,"include",""
3743,"child",9,5,850,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",16777,"zeta theta","zeta theta",1,0,"include",""
3752,"child",8,5,880,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",15312,"zeta theta","zeta theta",1,0,"include",""
3762,"child",8,5,917,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",25020,"zeta theta","zeta theta",1,0,"include",""
3766,"child",9,5,992,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",22194,"zeta theta","zeta theta",1,0,"include",""
3771,"child",7,4,1010,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",28650,"zeta theta","zeta theta",1,0,"maybe","answered < 40% of Latin alphabet items correctly"
3772,"child",8,4,1022,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&theta;&iota;",18348,"theta iota","zeta theta",0,2,"include",""
3779,"child",8,5,1043,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",30193,"zeta theta","zeta theta",1,0,"include",""
3785,"child",8,5,1063,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",146501,"zeta theta","zeta theta",1,0,"include",""
3790,"child",8,4,1075,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",78574,"zeta theta","zeta theta",1,0,"include",""
3795,"child",8,4,1086,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",31202,"zeta theta","zeta theta",1,0,"include",""
3798,"child",8,4,1108,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",31436,"zeta theta","zeta theta",1,0,"include",""
3799,"child",8,5,1131,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",15823,"zeta theta","zeta theta",1,0,"include",""
3800,"child",9,5,1151,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",33494,"zeta theta","zeta theta",1,0,"include",""
3801,"child",9,5,1154,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",9162,"zeta theta","zeta theta",1,0,"include",""
3803,"child",8,4,1187,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",26245,"zeta theta","zeta theta",1,0,"include",""
3807,"child",8,5,1199,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",41365,"zeta theta","zeta theta",1,0,"include",""
3809,"child",8,5,1221,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",38242,"zeta theta","zeta theta",1,0,"include",""
3808,"child",8,5,1226,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",32786,"zeta theta","zeta theta",1,0,"include",""
3821,"child",9,5,1290,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",56261,"zeta theta","zeta theta",1,0,"include",""
3813,"child",8,4,1291,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",54976,"zeta theta","zeta theta",1,0,"include",""
3832,"child",9,5,1329,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",30095,"zeta theta","zeta theta",1,0,"include",""
3837,"child",9,5,1334,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",32186,"zeta theta","zeta theta",1,0,"include",""
3831,"child",7,4,1336,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",52468,"zeta theta","zeta theta",1,0,"include",""
3842,"child",8,4,1376,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",67808,"zeta theta","zeta theta",1,0,"exclude","child criteria 3: skipped >40% items for 1 or more alphabets"
3844,"child",8,4,1395,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",25845,"zeta theta","zeta theta",1,0,"include",""
3843,"child",9,5,1409,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",62213,"zeta theta","zeta theta",1,0,"include",""
3845,"child",9,5,1418,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",70657,"zeta theta","zeta theta",1,0,"maybe","answered < 40% of Latin alphabet items correctly"
3846,"child",7,4,1431,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&iota;",30992,"zeta iota","zeta theta",0,1,"include",""
3848,"child",9,5,1469,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",55014,"zeta theta","zeta theta",1,0,"include",""
3862,"child",9,5,1522,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",31591,"zeta theta","zeta theta",1,0,"include",""
3863,"child",8,5,1539,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",17457,"zeta theta","zeta theta",1,0,"include",""
3864,"child",9,5,1555,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",21232,"zeta theta","zeta theta",1,0,"include",""
3870,"child",9,5,1589,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",57028,"zeta theta","zeta theta",1,0,"include",""
3865,"child",9,5,1594,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","",408,NA,"zeta theta",0,NA,"include",""
3865,"child",9,5,1595,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",25337,"zeta theta","zeta theta",1,0,"include",""
3872,"child",9,5,1615,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",9349,"zeta theta","zeta theta",1,0,"include",""
3867,"child",8,4,1619,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&iota;",83866,"zeta iota","zeta theta",0,1,"include",""
3871,"child",8,4,1632,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",74228,"zeta theta","zeta theta",1,0,"include",""
3873,"child",7,4,1650,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","",279,NA,"zeta theta",0,NA,"include",""
3874,"child",7,4,1674,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",68693,"zeta theta","zeta theta",1,0,"include",""
3894,"adult",17,NA,1806,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",7503,"zeta theta","zeta theta",1,0,"exclude","adult criterion 1: <80% items answered"
3895,"adult",17,NA,1823,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",21794,"zeta theta","zeta theta",1,0,"include","include"
3896,"adult",23,NA,1840,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",10259,"zeta theta","zeta theta",1,0,"include","include"
3912,"adult",17,NA,1978,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",19396,"zeta theta","zeta theta",1,0,"include","include"
3916,"adult",17,NA,1995,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",14231,"zeta theta","zeta theta",1,0,"include","include"
3918,"adult",22,NA,2012,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",17066,"zeta theta","zeta theta",1,0,"include","include"
3931,"adult",47,NA,2118,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",8059,"zeta theta","zeta theta",1,0,"include","include"
3932,"adult",23,NA,2135,1001,"Greek"," alpha   beta "," alpha   gamma "," zeta   eta "," zeta   theta ","&zeta;&theta;",9286,"zeta theta","zeta theta",1,0,"include","include"
